,threshold,true_positive,false_positive,true_negative,false_negative
0,      0.10,99,46,54,1
1,      0.11,99,45,55,1
2,      0.12,99,45,55,1
3,      0.13,99,43,57,1
4,      0.14,99,40,60,1
5,      0.15,99,36,64,1
6,      0.16,99,34,66,1
7,      0.17,98,32,68,2
8,      0.18,98,32,68,2
9,      0.19,98,32,68,2
10,      0.20,98,31,69,2
11,      0.21,98,30,70,2
12,      0.22,98,30,70,2
13,      0.23,97,28,72,3
14,      0.24,97,28,72,3
15,      0.25,97,28,72,3
16,      0.26,97,27,73,3
17,      0.27,97,27,73,3
18,      0.28,97,27,73,3
19,      0.29,97,27,73,3
20,      0.30,95,27,73,5
21,      0.31,95,26,74,5
22,      0.32,94,26,74,6
23,      0.33,94,26,74,6
24,      0.34,94,25,75,6
25,      0.35,93,24,76,7
26,      0.36,93,23,77,7
27,      0.37,93,23,77,7
28,      0.38,93,23,77,7
29,      0.39,92,22,78,8
30,      0.40,91,22,78,9
31,      0.41,91,20,80,9
32,      0.42,91,20,80,9
33,      0.43,91,20,80,9
34,      0.44,91,20,80,9
35,      0.45,91,20,80,9
36,      0.46,91,20,80,9
37,      0.47,90,18,82,10
38,      0.48,90,16,84,10
39,      0.49,90,15,85,10
40,      0.50,90,15,85,10
41,      0.51,90,15,85,10
42,      0.52,90,15,85,10
43,      0.53,90,15,85,10
44,      0.54,90,13,87,10
45,      0.55,89,13,87,11
46,      0.56,89,13,87,11
47,      0.57,88,13,87,12
48,      0.58,88,12,88,12
49,      0.59,87,12,88,13
50,      0.60,87,10,90,13
51,      0.61,87,10,90,13
52,      0.62,87,10,90,13
53,      0.63,87,9,91,13
54,      0.64,87,9,91,13
55,      0.65,87,9,91,13
56,      0.66,87,9,91,13
57,      0.67,86,8,92,14
58,      0.68,86,8,92,14
59,      0.69,85,8,92,15
60,      0.70,85,7,93,15
61,      0.71,84,6,94,16
62,      0.72,82,6,94,18
63,      0.73,82,6,94,18
64,      0.74,80,4,96,20
65,      0.75,79,4,96,21
66,      0.76,77,4,96,23
67,      0.77,76,4,96,24
68,      0.78,71,3,97,29
69,      0.79,70,3,97,30
70,      0.80,69,3,97,31
71,      0.81,67,3,97,33
72,      0.82,65,3,97,35
73,      0.83,64,2,98,36
74,      0.84,64,1,99,36
75,      0.85,61,1,99,39
76,      0.86,60,1,99,40
77,      0.87,59,1,99,41
78,      0.88,57,1,99,43
79,      0.89,55,1,99,45
