,threshold,true_positive,false_positive,true_negative,false_negative
0,      0.10,100,46,54,0
1,      0.11,100,42,58,0
2,      0.12,100,41,59,0
3,      0.13,100,41,59,0
4,      0.14,100,40,60,0
5,      0.15,100,37,63,0
6,      0.16,100,37,63,0
7,      0.17,98,34,66,2
8,      0.18,98,31,69,2
9,      0.19,98,31,69,2
10,      0.20,98,30,70,2
11,      0.21,98,29,71,2
12,      0.22,98,28,72,2
13,      0.23,98,27,73,2
14,      0.24,98,26,74,2
15,      0.25,97,26,74,3
16,      0.26,96,24,76,4
17,      0.27,95,24,76,5
18,      0.28,95,23,77,5
19,      0.29,94,21,79,6
20,      0.30,94,20,80,6
21,      0.31,92,20,80,8
22,      0.32,92,19,81,8
23,      0.33,92,18,82,8
24,      0.34,92,17,83,8
25,      0.35,92,16,84,8
26,      0.36,92,16,84,8
27,      0.37,91,16,84,9
28,      0.38,91,15,85,9
29,      0.39,91,14,86,9
30,      0.40,91,14,86,9
31,      0.41,91,14,86,9
32,      0.42,91,14,86,9
33,      0.43,91,14,86,9
34,      0.44,91,13,87,9
35,      0.45,91,12,88,9
36,      0.46,91,12,88,9
37,      0.47,91,11,89,9
38,      0.48,91,10,90,9
39,      0.49,90,10,90,10
40,      0.50,90,10,90,10
41,      0.51,89,10,90,11
42,      0.52,89,10,90,11
43,      0.53,89,10,90,11
44,      0.54,89,10,90,11
45,      0.55,89,10,90,11
46,      0.56,89,10,90,11
47,      0.57,88,8,92,12
48,      0.58,88,8,92,12
49,      0.59,88,8,92,12
50,      0.60,88,8,92,12
51,      0.61,87,8,92,13
52,      0.62,86,8,92,14
53,      0.63,86,7,93,14
54,      0.64,86,7,93,14
55,      0.65,86,7,93,14
56,      0.66,85,7,93,15
57,      0.67,85,7,93,15
58,      0.68,85,7,93,15
59,      0.69,84,6,94,16
60,      0.70,83,5,95,17
61,      0.71,82,5,95,18
62,      0.72,81,5,95,19
63,      0.73,81,5,95,19
64,      0.74,81,4,96,19
65,      0.75,80,4,96,20
66,      0.76,80,4,96,20
67,      0.77,80,4,96,20
68,      0.78,80,4,96,20
69,      0.79,77,4,96,23
70,      0.80,77,4,96,23
71,      0.81,77,4,96,23
72,      0.82,75,4,96,25
73,      0.83,73,4,96,27
74,      0.84,71,4,96,29
75,      0.85,68,4,96,32
76,      0.86,65,4,96,35
77,      0.87,63,3,97,37
78,      0.88,61,3,97,39
79,      0.89,59,3,97,41
